palavras,forca_global,rank_global,forca_peso,rank_peso,forca_global_peso,rank_global_peso
serao,0.5091963,1,0.5091963,167,0.5091963,243
rosea,0.5091963,1,0.5091963,54,0.5091963,29
orais,0.4878879,2,0.4878879,122,0.4878879,233
roias,0.4878879,2,0.4878879,261,0.4878879,201
roais,0.4878879,2,0.4878879,145,0.4878879,477
raios,0.4878879,2,0.4878879,95,0.4878879,380
sarei,0.4862804,3,0.4862804,483,0.4862804,27
seria,0.4862804,3,0.4862804,429,0.4862804,294
reais,0.4862804,3,0.4862804,394,0.4862804,287
aires,0.4862804,3,0.4862804,189,0.4862804,138
raies,0.4862804,3,0.4862804,353,0.4862804,391
areis,0.4862804,3,0.4862804,113,0.4862804,378
eiras,0.4862804,3,0.4862804,118,0.4862804,464
meiao,0.4862804,3,0.4862804,25,0.4862804,295
remoa,0.4842243,4,0.4842243,238,0.4842243,1
aremo,0.4842243,4,0.4842243,62,0.4842243,159
moera,0.4842243,4,0.4842243,79,0.4842243,41
aureo,0.4828785,5,0.4828785,372,0.4828785,144
ateio,0.4791028,6,0.4791028,358,0.4791028,84
ecoai,0.4786168,7,0.4786168,85,0.4786168,333
rotea,0.4770467,8,0.4770467,53,0.4770467,83
reato,0.4770467,8,0.4770467,459,0.4770467,320
terao,0.4770467,8,0.4770467,341,0.4770467,263
ecoar,0.4765607,9,0.4765607,214,0.4765607,50
lerao,0.4733458,10,0.4733458,419,0.4733458,25
tesao,0.4725981,11,0.4725981,486,0.4725981,399
estao,0.4725981,11,0.4725981,33,0.4725981,38
aceso,0.4721121,12,0.4721121,9,0.4721121,228
escoa,0.4721121,12,0.4721121,238,0.4721121,312
acoes,0.4721121,12,0.4721121,232,0.4721121,232
coesa,0.4721121,12,0.4721121,464,0.4721121,195
secao,0.4721121,12,0.4721121,240,0.4721121,333
ecoas,0.4721121,12,0.4721121,66,0.4721121,442
aloes,0.4688972,13,0.4688972,24,0.4688972,390
lesao,0.4688972,13,0.4688972,249,0.4688972,281
leoas,0.4688972,13,0.4688972,500,0.4688972,218
onera,0.4680374,14,0.4680374,339,0.4680374,325
odeia,0.4661682,15,0.4661682,271,0.4661682,65
doera,0.4641121,16,0.4641121,454,0.4641121,68
eroda,0.4641121,16,0.4641121,462,0.4641121,403
rodea,0.4641121,16,0.4641121,9,0.4641121,145
adore,0.4641121,16,0.4641121,266,0.4641121,405
apeio,0.464,17,0.464,165,0.464,223
apoie,0.464,17,0.464,309,0.464,199
senao,0.4635888,18,0.4635888,297,0.4635888,0
anoes,0.4635888,18,0.4635888,49,0.4635888,375
roiam,0.4629159,19,0.4629159,156,0.4629159,239
morai,0.4629159,19,0.4629159,176,0.4629159,475
mario,0.4629159,19,0.4629159,436,0.4629159,403
riamo,0.4629159,19,0.4629159,53,0.4629159,35
irmao,0.4629159,19,0.4629159,125,0.4629159,146
maior,0.4629159,19,0.4629159,171,0.4629159,173
arpoe,0.4619439,20,0.4619439,261,0.4619439,427
opera,0.4619439,20,0.4619439,484,0.4619439,417
pareo,0.4619439,20,0.4619439,469,0.4619439,309
raiou,0.4615701,21,0.4615701,275,0.4615701,375
armei,0.4613084,22,0.4613084,62,0.4613084,216
raiem,0.4613084,22,0.4613084,306,0.4613084,313
remia,0.4613084,22,0.4613084,373,0.4613084,89
remai,0.4613084,22,0.4613084,367,0.4613084,486
aveio,0.4602617,23,0.4602617,360,0.4602617,178
ureia,0.4599626,24,0.4599626,464,0.4599626,299
iamos,0.4584673,25,0.4584673,216,0.4584673,329
somai,0.4584673,25,0.4584673,367,0.4584673,37
moias,0.4584673,25,0.4584673,306,0.4584673,456
saimo,0.4584673,25,0.4584673,84,0.4584673,351
moais,0.4584673,25,0.4584673,91,0.4584673,94
simao,0.4584673,25,0.4584673,261,0.4584673,417
garoe,0.458243,26,0.458243,482,0.458243,286
verao,0.4582056,27,0.4582056,309,0.4582056,457
ousai,0.4571215,28,0.4571215,214,0.4571215,311
esima,0.4568598,29,0.4568598,215,0.4568598,230
ameis,0.4568598,29,0.4568598,215,0.4568598,140
meias,0.4568598,29,0.4568598,98,0.4568598,212
romas,0.4564112,30,0.4564112,200,0.4564112,471
ramos,0.4564112,30,0.4564112,218,0.4564112,408
moras,0.4564112,30,0.4564112,494,0.4564112,458
morsa,0.4564112,30,0.4564112,108,0.4564112,418
somar,0.4564112,30,0.4564112,230,0.4564112,98
afore,0.4560374,31,0.4560374,231,0.4560374,219
atrio,0.4557383,32,0.4557383,81,0.4557383,194
reboa,0.4557383,32,0.4557383,373,0.4557383,22
atiro,0.4557383,32,0.4557383,376,0.4557383,46
troia,0.4557383,32,0.4557383,12,0.4557383,261
traio,0.4557383,32,0.4557383,272,0.4557383,314
orcai,0.4552523,33,0.4552523,336,0.4552523,274
rocai,0.4552523,33,0.4552523,6,0.4552523,84
corai,0.4552523,33,0.4552523,261,0.4552523,392
