palavras,forca,rank
serao,0.5091963,1
rosea,0.5091963,1
orais,0.4878879,2
roias,0.4878879,2
roais,0.4878879,2
raios,0.4878879,2
sarei,0.4862804,3
seria,0.4862804,3
reais,0.4862804,3
aires,0.4862804,3
raies,0.4862804,3
areis,0.4862804,3
eiras,0.4862804,3
meiao,0.4862804,3
remoa,0.4842243,4
aremo,0.4842243,4
moera,0.4842243,4
aureo,0.4828785,5
ateio,0.4791028,6
ecoai,0.4786168,7
rotea,0.4770467,8
reato,0.4770467,8
terao,0.4770467,8
ecoar,0.4765607,9
lerao,0.4733458,10
tesao,0.4725981,11
estao,0.4725981,11
aceso,0.4721121,12
escoa,0.4721121,12
acoes,0.4721121,12
coesa,0.4721121,12
secao,0.4721121,12
ecoas,0.4721121,12
aloes,0.4688972,13
lesao,0.4688972,13
leoas,0.4688972,13
onera,0.4680374,14
odeia,0.4661682,15
doera,0.4641121,16
eroda,0.4641121,16
rodea,0.4641121,16
adore,0.4641121,16
apeio,0.464,17
apoie,0.464,17
senao,0.4635888,18
anoes,0.4635888,18
roiam,0.4629159,19
morai,0.4629159,19
mario,0.4629159,19
riamo,0.4629159,19
irmao,0.4629159,19
maior,0.4629159,19
arpoe,0.4619439,20
opera,0.4619439,20
pareo,0.4619439,20
raiou,0.4615701,21
armei,0.4613084,22
raiem,0.4613084,22
remia,0.4613084,22
remai,0.4613084,22
aveio,0.4602617,23
ureia,0.4599626,24
iamos,0.4584673,25
somai,0.4584673,25
moias,0.4584673,25
saimo,0.4584673,25
moais,0.4584673,25
simao,0.4584673,25
garoe,0.458243,26
verao,0.4582056,27
ousai,0.4571215,28
esima,0.4568598,29
ameis,0.4568598,29
meias,0.4568598,29
romas,0.4564112,30
ramos,0.4564112,30
moras,0.4564112,30
morsa,0.4564112,30
somar,0.4564112,30
afore,0.4560374,31
atrio,0.4557383,32
reboa,0.4557383,32
atiro,0.4557383,32
troia,0.4557383,32
traio,0.4557383,32
orcai,0.4552523,33
rocai,0.4552523,33
corai,0.4552523,33
cairo,0.4552523,33
ousar,0.4550654,34
sarou,0.4550654,34
mares,0.4548037,35
armes,0.4548037,35
resma,0.4548037,35
remas,0.4548037,35
meras,0.4548037,35
sarem,0.4548037,35
atire,0.4541308,36
teria,0.4541308,36
itera,0.4541308,36
erica,0.4536449,37
recai,0.4536449,37
creia,0.4536449,37
orlai,0.4520374,38
rolai,0.4520374,38
loira,0.4520374,38
obesa,0.4512897,39
tosai,0.4512897,39
socia,0.4508037,40
coisa,0.4508037,40
sacio,0.4508037,40
coais,0.4508037,40
ciosa,0.4508037,40
cisao,0.4508037,40
socai,0.4508037,40
cosia,0.4508037,40
ralei,0.4504299,41
relia,0.4504299,41
leria,0.4504299,41
iates,0.4496822,42
teias,0.4496822,42
seita,0.4496822,42
ateis,0.4496822,42
estai,0.4496822,42
sorta,0.4492336,43
rotas,0.4492336,43
astro,0.4492336,43
toras,0.4492336,43
tosar,0.4492336,43
ostra,0.4492336,43
rasto,0.4492336,43
ratos,0.4492336,43
ceias,0.4491963,44
caies,0.4491963,44
secai,0.4491963,44
ceais,0.4491963,44
casei,0.4491963,44
sacie,0.4491963,44
orcas,0.4487477,45
rosca,0.4487477,45
rocas,0.4487477,45
arcos,0.4487477,45
coras,0.4487477,45
socar,0.4487477,45
caros,0.4487477,45
sacro,0.4487477,45
artes,0.4476262,46
retas,0.4476262,46
resta,0.4476262,46
teras,0.4476262,46
atemo,0.4476262,46
estar,0.4476262,46
solai,0.4475888,47
aliso,0.4475888,47
isola,0.4475888,47
asilo,0.4475888,47
cesar,0.4471402,48
secar,0.4471402,48
ceamo,0.4471402,48
ceras,0.4471402,48
ecoam,0.4471402,48
ornai,0.446729,49
ateou,0.4462804,50
lesai,0.4459813,51
leais,0.4459813,51
leias,0.4459813,51
alise,0.4459813,51
asile,0.4459813,51
alies,0.4459813,51
selai,0.4459813,51
ilesa,0.4459813,51
rolas,0.4455327,52
orlas,0.4455327,52
ralos,0.4455327,52
solar,0.4455327,52
reina,0.4451215,53
laser,0.4439252,54
lares,0.4439252,54
melao,0.4439252,54
leras,0.4439252,54
amole,0.4439252,54
rales,0.4439252,54
selar,0.4439252,54
reajo,0.4439252,54
arejo,0.4439252,54
moela,0.4439252,54
lesar,0.4439252,54
arido,0.4428037,55
rodai,0.4428037,55
dirao,0.4428037,55
irado,0.4428037,55
odiar,0.4428037,55
adiro,0.4428037,55
radio,0.4428037,55
roida,0.4428037,55
exaro,0.4423178,56
darei,0.4411963,57
ardei,0.4411963,57
radie,0.4411963,57
aderi,0.4411963,57
sanei,0.4406729,58
aneis,0.4406729,58
pairo,0.4406355,59
poria,0.4406355,59
piora,0.4406355,59
pirao,0.4406355,59
rosna,0.4402243,60
noras,0.4402243,60
ornas,0.4402243,60
aceto,0.4399626,61
paire,0.439028,62
parei,0.439028,62
rapei,0.439028,62
renas,0.4386168,63
emano,0.4386168,63
ameno,0.4386168,63
nomea,0.4386168,63
doais,0.4383551,64
doias,0.4383551,64
dosai,0.4383551,64
idosa,0.4383551,64
sadio,0.4383551,64
saido,0.4383551,64
rogai,0.4369346,65
gorai,0.4369346,65
orgia,0.4369346,65
virao,0.4368972,66
vario,0.4368972,66
adies,0.4367477,67
lotea,0.4367477,67
sedia,0.4367477,67
telao,0.4367477,67
atole,0.4367477,67
dosar,0.4362991,68
rodas,0.4362991,68
posai,0.4361869,69
geria,0.4353271,70
regia,0.4353271,70
gerai,0.4353271,70
reagi,0.4353271,70
regai,0.4353271,70
veria,0.4352897,71
avier,0.4352897,71
viera,0.4352897,71
revia,0.4352897,71
varei,0.4352897,71
varie,0.4352897,71
afiro,0.434729,72
dares,0.4346916,73
deras,0.4346916,73
moeda,0.4346916,73
ardes,0.4346916,73
demao,0.4346916,73
sepia,0.4345794,74
pesai,0.4345794,74
espia,0.4345794,74
bario,0.4344299,75
boiar,0.4344299,75
prosa,0.4341308,76
proas,0.4341308,76
posar,0.4341308,76
poras,0.4341308,76
raspo,0.4341308,76
sopra,0.4341308,76
rimas,0.4334953,77
miras,0.4334953,77
irmas,0.4334953,77
farei,0.4331215,78
arfei,0.4331215,78
freai,0.4331215,78
feira,0.4331215,78
freia,0.4331215,78
aferi,0.4331215,78
feria,0.4331215,78
beira,0.4328224,79
pares,0.4325234,80
rapes,0.4325234,80
raspe,0.4325234,80
peras,0.4325234,80
presa,0.4325234,80
poema,0.4325234,80
pesar,0.4325234,80
persa,0.4325234,80
agios,0.432486,81
oreis,0.432486,81
serio,0.432486,81
roeis,0.432486,81
goias,0.432486,81
sovai,0.4324486,82
visao,0.4324486,82
ovais,0.4324486,82
aviso,0.4324486,82
voais,0.4324486,82
ruias,0.4321495,83
anote,0.4314393,84
entao,0.4314393,84
entoa,0.4314393,84
etano,0.4314393,84
apeou,0.4311776,85
aceno,0.4309533,86
geais,0.4308785,87
geias,0.4308785,87
ageis,0.4308785,87
avise,0.4308411,88
veias,0.4308411,88
avies,0.4308411,88
vaies,0.4308411,88
seiva,0.4308411,88
esvai,0.4308411,88
rasgo,0.4304299,89
rogas,0.4304299,89
goras,0.4304299,89
graos,0.4304299,89
sogra,0.4304299,89
sagro,0.4304299,89
sovar,0.4303925,90
sorva,0.4303925,90
sifao,0.4302804,91
armou,0.4300935,92
moura,0.4300935,92
bisao,0.4299813,93
boias,0.4299813,93
sabio,0.4299813,93
omega,0.4288224,94
ergas,0.4288224,94
magoe,0.4288224,94
geras,0.4288224,94
sagre,0.4288224,94
geamo,0.4288224,94
regas,0.4288224,94
serva,0.428785,95
vares,0.428785,95
ervas,0.428785,95
versa,0.428785,95
veras,0.428785,95
feias,0.4286729,96
safei,0.4286729,96
afies,0.4286729,96
sabei,0.4283738,97
faros,0.4282243,98
foras,0.4282243,98
sofra,0.4282243,98
orfas,0.4282243,98
afros,0.4282243,98
sobra,0.4279252,99
obras,0.4279252,99
sabor,0.4279252,99
broas,0.4279252,99
rabos,0.4279252,99
anelo,0.4277383,100
adote,0.427514,101
adoce,0.427028,102
ceado,0.427028,102
acode,0.427028,102
codea,0.427028,102
frase,0.4266168,103
arfes,0.4266168,103
feras,0.4266168,103
fresa,0.4266168,103
timao,0.4263178,104
saber,0.4263178,104
omita,0.4263178,104
tomai,0.4263178,104
otima,0.4263178,104
abres,0.4263178,104
bares,0.4263178,104
tiras,0.4263178,104
trais,0.4263178,104
moita,0.4263178,104
sabre,0.4263178,104
crias,0.4258318,105
ricas,0.4258318,105
macio,0.4258318,105
comia,0.4258318,105
icamo,0.4258318,105
caimo,0.4258318,105
risca,0.4258318,105
usamo,0.4256449,106
ousam,0.4256449,106
suamo,0.4256449,106
poeta,0.4253458,107
epoca,0.4248598,108
metia,0.4247103,109
emita,0.4247103,109
teima,0.4247103,109
temia,0.4247103,109
matei,0.4247103,109
caiou,0.424486,110
tomar,0.4242617,111
morta,0.4242617,111
caiem,0.4242243,112
ceiam,0.4242243,112
orcam,0.4237757,113
rocam,0.4237757,113
coram,0.4237757,113
marco,0.4237757,113
croma,0.4237757,113
macro,0.4237757,113
carmo,0.4237757,113
atuei,0.4233645,114
outra,0.4229159,115
autor,0.4229159,115
aturo,0.4229159,115
acuei,0.4228785,116
trema,0.4226542,117
traem,0.4226542,117
liras,0.4226168,118
limao,0.4226168,118
imola,0.4226168,118
rouca,0.4224299,119
arcou,0.4224299,119
crema,0.4221682,120
apelo,0.4216449,121
ature,0.4213084,122
aliou,0.421271,123
coeva,0.4211215,124
evoca,0.4211215,124
liame,0.4210093,125
aliem,0.4210093,125
leiam,0.4210093,125
erija,0.4210093,125
melai,0.4210093,125
rajei,0.4210093,125
rezai,0.4208972,126
zerai,0.4208972,126
recua,0.4208224,127
orlam,0.4205607,128
rolam,0.4205607,128
moral,0.4205607,128
molar,0.4205607,128
tomas,0.4198131,129
tosam,0.4198131,129
matos,0.4198131,129
afeto,0.4194393,130
cosam,0.4193271,131
masco,0.4193271,131
socam,0.4193271,131
mosca,0.4193271,131
macos,0.4193271,131
mocas,0.4193271,131
comas,0.4193271,131
ralou,0.419215,132
loura,0.419215,132
abeto,0.4191402,133
beato,0.4191402,133
boate,0.4191402,133
melar,0.4189533,134
ralem,0.4189533,134
leram,0.4189533,134
cotai,0.4186542,135
tocai,0.4186542,135
otica,0.4186542,135
ticao,0.4186542,135
atico,0.4186542,135
aonde,0.4185047,136
ondea,0.4185047,136
autos,0.4184673,137
metas,0.4182056,138
mates,0.4182056,138
temas,0.4182056,138
joias,0.4181682,139
causo,0.4179813,140
sacou,0.4179813,140
casou,0.4179813,140
acuso,0.4179813,140
oucas,0.4179813,140
alego,0.4179439,141
golea,0.4179439,141
goela,0.4179439,141
casem,0.4177196,142
mecas,0.4177196,142
secam,0.4177196,142
ruela,0.4176075,143
animo,0.4173084,144
horas,0.4171589,145
tecia,0.4170467,146
atice,0.4170467,146
etica,0.4170467,146
catei,0.4170467,146
ateus,0.4168598,147
atues,0.4168598,147
torca,0.4165981,148
cotar,0.4165981,148
traco,0.4165981,148
corta,0.4165981,148
troca,0.4165981,148
tocar,0.4165981,148
sueca,0.4163738,149
acuse,0.4163738,149
acues,0.4163738,149
cause,0.4163738,149
apeno,0.4163364,150
molas,0.4161121,151
salmo,0.4161121,151
solam,0.4161121,151
uniao,0.4159626,152
anime,0.4157009,153
heras,0.4155514,154
abole,0.4154393,155
lotai,0.4154393,155
italo,0.4154393,155
ornam,0.4152523,156
morna,0.4152523,156
norma,0.4152523,156
trace,0.4149907,157
catre,0.4149907,157
terca,0.4149907,157
certa,0.4149907,157
locai,0.4149533,158
colai,0.4149533,158
lacio,0.4149533,158
licao,0.4149533,158
laico,0.4149533,158
lousa,0.4147664,159
males,0.4145047,160
rejas,0.4145047,160
rajes,0.4145047,160
roxas,0.4145047,160
lemas,0.4145047,160
lesam,0.4145047,160
melas,0.4145047,160
lesma,0.4145047,160
selam,0.4145047,160
zeras,0.4143925,161
rezas,0.4143925,161
urano,0.4139065,162
adimo,0.4133832,163
domai,0.4133832,163
doiam,0.4133832,163
lotar,0.4133832,163
diras,0.4133832,163
ardis,0.4133832,163
moida,0.4133832,163
miado,0.4133832,163
amido,0.4133832,163
alcei,0.4133458,164
calei,0.4133458,164
lacei,0.4133458,164
celia,0.4133458,164
coral,0.4128972,165
calor,0.4128972,165
claro,0.4128972,165
lacro,0.4128972,165
colar,0.4128972,165
locar,0.4128972,165
negao,0.4126355,166
nevoa,0.4125981,167
reuna,0.4122991,168
cotas,0.4121495,169
costa,0.4121495,169
tosca,0.4121495,169
tocas,0.4121495,169
tacos,0.4121495,169
casto,0.4121495,169
adiou,0.4120374,170
adiem,0.4117757,171
letra,0.4117757,171
media,0.4117757,171
morda,0.4113271,172
rodam,0.4113271,172
domar,0.4113271,172
lacre,0.4112897,173
paris,0.411215,174
ripas,0.411215,174
piamo,0.411215,174
pisar,0.411215,174
manos,0.4108037,175
manso,0.4108037,175
cesta,0.4105421,176
tecas,0.4105421,176
cates,0.4105421,176
inato,0.4101308,177
ebano,0.4101308,177
notai,0.4101308,177
atino,0.4101308,177
arduo,0.4099813,178
doura,0.4099813,178
darem,0.4097196,179
ardem,0.4097196,179
merda,0.4097196,179
deram,0.4097196,179
medra,0.4097196,179
incoa,0.4096449,180
sanou,0.4094579,181
sanem,0.4091963,182
manes,0.4091963,182
pomar,0.4091589,183
rompa,0.4091589,183
solta,0.4089346,184
tolas,0.4089346,184
lotas,0.4089346,184
talos,0.4089346,184
altos,0.4089346,184
salto,0.4089346,184
geado,0.4087103,185
veado,0.4086729,186
evado,0.4086729,186
atine,0.4085234,187
etnia,0.4085234,187
lacos,0.4084486,188
calos,0.4084486,188
lasco,0.4084486,188
locas,0.4084486,188
colas,0.4084486,188
ardeu,0.4083738,189
notar,0.4080748,190
antro,0.4080748,190
torna,0.4080748,190
rapou,0.4078131,191
roupa,0.4078131,191
parou,0.4078131,191
apuro,0.4078131,191
ronca,0.4075888,192
ranco,0.4075888,192
parem,0.4075514,193
rapem,0.4075514,193
prema,0.4075514,193
iremo,0.407514,194
garis,0.407514,194
amigo,0.407514,194
remoi,0.407514,194
giras,0.407514,194
morei,0.407514,194
agimo,0.407514,194
movia,0.4074766,195
sirva,0.4074766,195
visar,0.4074766,195
viras,0.4074766,195
avimo,0.4074766,195
lates,0.4073271,196
telas,0.4073271,196
salte,0.4073271,196
ruiam,0.4071776,197
rumai,0.4071776,197
murai,0.4071776,197
modas,0.4068785,198
damos,0.4068785,198
dosam,0.4068785,198
domas,0.4068785,198
celas,0.4068411,199
laces,0.4068411,199
cales,0.4068411,199
alces,0.4068411,199
apego,0.4065421,200
tenra,0.4064673,201
terna,0.4064673,201
entra,0.4064673,201
trena,0.4064673,201
inalo,0.4064299,202
apure,0.4062056,203
adito,0.4062056,203
perua,0.4062056,203
dotai,0.4062056,203
atido,0.4062056,203
vaiou,0.4061308,204
ouvia,0.4061308,204
aviou,0.4061308,204
carne,0.4059813,205
geiam,0.4059065,206
gemia,0.4059065,206
meiga,0.4059065,206
aviem,0.4058692,207
vaiem,0.4058692,207
exato,0.4057196,208
icado,0.4057196,208
acido,0.4057196,208
caido,0.4057196,208
sudao,0.4055327,209
suado,0.4055327,209
saudo,0.4055327,209
usado,0.4055327,209
rogam,0.4054579,210
goram,0.4054579,210
magro,0.4054579,210
frisa,0.4053084,211
firas,0.4053084,211
rifas,0.4053084,211
frias,0.4053084,211
fiamo,0.4053084,211
mofai,0.4053084,211
coaxe,0.4052336,212
ribas,0.4050093,213
brisa,0.4050093,213
boiam,0.4050093,213
abris,0.4050093,213
inale,0.4048224,214
posam,0.4047103,215
